"terms"	"topic_num"
"suppli, equip, shortag, manufactur, associ, ventil, product"	1
"senat, republican, democrat, lawmak, legisl, gop, sen"	2
"north, dakota, carolina, south, fargo, burgum, fork"	3
"tax, fund, budget, loan, revenu, billion, million"	4
"weather, snow, wind, storm, winter, rain, temperatur"	5
"peoria, columbus, anderson, adam, zoo, lion, kona"	6
"feel, thing, lot, need, someth, work, peopl"	7
"minist, iran, russia, navalni, govern, russian, britain"	8
"polici, state, enforc, law, public, requir, violat"	9
"may, april, june, march, date, juli, avg"	10
"paul, marshal, pardon, stone, sacramento, twin, wall"	11
"ballot, vote, elect, voter, absente, democrat, elector"	12
"light, earth, sun, moon, sky, blue, planet"	13
"virus, infect, reopen, health, coronavirus, governor, state"	14
"oct, sept, aug, nov, dec, star, jan"	15
"moor, kennedi, lgbtq, transgend, duluth, gay, mcdonald"	16
"mask, wear, distanc, sanit, guidelin, social, disinfect"	17
"water, oil, emiss, energi, gas, environment, electr"	18
"coach, athlet, footbal, sport, season, player, school"	19
"student, graduat, colleg, univers, campus, scholarship, semest"	20
"properti, project, construct, estat, acr, build, street"	21
"day, weekend, hour, memori, morn, everi, arriv"	22
"funer, grandchildren, natchez, gravesid, cemeteri, church, vicksburg"	23
"polic, vehicl, sheriff, man, crash, investig, shoot"	24
"island, port, beach, boat, insle, clallam, harbor"	25
"communiti, donat, program, food, support, servic, nonprofit"	26
"triblivecom, wpial, township, allegheni, pittsburgh, tribun, westmoreland"	27
"book, publish, read, edit, reader, editor, print"	28
"polit, govern, democraci, politician, peopl, truth, opinion"	29
"case, icu, pipeston, death, hospit, mdh, total"	30
"counti, sheriff, commission, depart, yolo, resid, offic"	31
"plant, farm, cbd, farmer, tree, agricultur, garden"	32
"app, user, amazon, technolog, googl, tiktok, internet"	33
"council, board, citi, town, mayor, meet, approv"	34
"arrest, jail, prison, inmat, feloni, assault, sentenc"	35
"meal, food, chees, bake, chicken, sauc, wine"	36
"event, festiv, parad, cancel, club, ticket, celebr"	37
"touchdown, quarterback, nfl, yard, game, raider, steeler"	38
"test, symptom, covid, health, posit, virus, facil"	39
"password, subscrib, subscript, premium, log, regist, inquir"	40
"compani, industri, market, busi, invest, ceo, investor"	41
"got, guy, mayb, walk, kid, fun, car"	42
"inning, dodger, basebal, mlb, game, sox, player"	43
"vaccin, dose, pfizer, moderna, fda, variant, biontech"	44
"plan, phase, walz, schedul, announc, decis, minnesotan"	45
"payment, applic, postal, mail, census, dejoy, servic"	46
"new, york, cuomo, mexico, jersey, schenectadi, rhode"	47
"race, nascar, championship, runner, olymp, hors, harvick"	48
"game, championship, tournament, score, playoff, ncaa, coach"	49
"fire, firefight, hurrican, evacu, wildfir, storm, burn"	50
"black, racism, racial, statu, confeder, african, racist"	51
"dog, anim, pet, cat, shelter, havr, homeless"	52
"church, christma, holiday, god, worship, pastor, jesus"	53
"militari, veteran, war, armi, navi, soldier, troop"	54
"baker, boston, pritzker, vineyard, poli, denver, springfield"	55
"school, student, teacher, district, classroom, educ, superintend"	56
"children, women, child, parent, girl, kid, age"	57
"unemploy, worker, employe, jobless, job, employ, evict"	58
"restaur, store, busi, custom, retail, dine, reopen"	59
"una, para, más, pero, sus, también, dijo"	60
"argus, dispatch, whbf, quad, wvik, fax, kwqc"	61
"china, airlin, flight, chines, airport, spacex, korea"	62
"film, music, movi, song, album, theater, actor"	63
"court, attorney, lawsuit, suprem, justic, judg, alleg"	64
"rate, percent, economi, million, increas, price, averag"	65
"vega, casino, hotel, clark, tribe, sisolak, carson"	66
"san, newsom, santa, francisco, diego, immigr, jose"	67
"love, famili, father, mother, son, daughter, dad"	68
"librari, https, onlin, zoom, registr, inform, virtual"	69
"art, artist, museum, galleri, paint, mural, exhibit"	70
"polic, protest, floyd, arrest, offic, violenc, chauvin"	71
"trump, biden, democrat, presid, impeach, republican, donald"	72
"nba, game, player, laker, nhl, playoff, season"	73
"patient, hospit, health, medic, clinic, nurs, diseas"	74
"park, ski, trail, aspen, boulder, bike, steamboat"	75
"sexual, dear, abus, mental, abbi, suicid, violenc"	76
"award, smith, honor, sidney, hall, fame, winner"	77
"fish, lake, wildlif, angler, speci, bird, hunt"	78
"year, last, first, month, run, sinc, ago"	79
